id,region,station_name,normalized_name,file_name
0,Praha,"Vltava, Praha-Zbraslav","Vltava,Praha-Zbraslav",169000
1,Praha,"Berounka, Praha-Radotín","Berounka,Praha-Radotin",199200
2,Praha,"Radotínský potok, Praha-Radotín","Radotinskypotok,Praha-Radotin",199600
3,Praha,"Vltava, Praha-Chuchle","Vltava,Praha-Chuchle",200100
4,Praha,"Botič, Praha-Petrovice","Botic,Praha-Petrovice",200580
5,Praha,"Botič, Praha-Hostivař","Botic,Praha-Hostivar",200590
6,Praha,"Botič, Praha-Nusle","Botic,Praha-Nusle",200600
7,Praha,"Vltava, Praha-Výtoň","Vltava,Praha-Vyton",200700
8,Praha,"Vltava, Praha-Na Františku","Vltava,Praha-NaFrantisku",200900
9,Praha,"Rokytka, Praha-Kyjský rybník","Rokytka,Praha-Kyjskyrybnik",200980
10,Praha,"Rokytka, Praha-Vysočany","Rokytka,Praha-Vysocany",200990
11,Praha,"Litovický potok, Praha-Jiviny","Litovickypotok,Praha-Jiviny",201990
12,Stredocesky,"Doubrava, Žleby","Doubrava,Zleby",066000
13,Stredocesky,"Klejnárka, Chedrbí","Klejnarka,Chedrbi",066200
14,Stredocesky,"Vrchlice, Vrchlice","Vrchlice,Vrchlice",066500
15,Stredocesky,"Cidlina, Sány","Cidlina,Sany",075000
16,Stredocesky,"Štítarský potok, Svídnice","Stitarskypotok,Svidnice",075500
17,Stredocesky,"Mrlina, Vestec","Mrlina,Vestec",077000
18,Stredocesky,"Sánský kanál, Opolánky","Sanskykanal,Opolanky",078500
19,Stredocesky,"Labe, Nymburk","Labe,Nymburk",080000
20,Stredocesky,"Výrovka, Plaňany","Vyrovka,Planany",082000
21,Stredocesky,"Žehrovka, Březina","Zehrovka,Brezina",092900
22,Stredocesky,"Jizera, Sovenice","Jizera,Sovenice",093100
23,Stredocesky,"Mohelka, Chocnějovice","Mohelka,Chocnejovice",094000
24,Stredocesky,"Zábrdka, Dolní Bukovina","Zabrdka,DolniBukovina",096000
25,Stredocesky,"Bělá, Velký Rečkov","Bela,VelkyReckov",097000
26,Stredocesky,"Jizera, Bakov nad Jizerou","Jizera,BakovnadJizerou",098000
27,Stredocesky,"Klenice, Mladá Boleslav","Klenice,MladaBoleslav",100000
28,Stredocesky,"Jizera, Tuřice-Předměřice","Jizera,Turice-Predmerice",101800
29,Stredocesky,"Labe, Kostelec nad Labem","Labe,KostelecnadLabem",104400
30,Stredocesky,"Košátecký potok, Košátky","Kosateckypotok,Kosatky",105000
31,Stredocesky,"Brzina, Hrachov","Brzina,Hrachov",153800
32,Stredocesky,"Mastník, Radíč","Mastnik,Radic",153900
33,Stredocesky,"Kocába, Štěchovice","Kocaba,Stechovice",154600
34,Stredocesky,"Sázava, Zruč nad Sázavou","Sazava,ZrucnadSazavou",161000
35,Stredocesky,"Sedlický potok, Leský Mlýn","Sedlickypotok,LeskyMlyn",163100
36,Stredocesky,"Želivka, Nesměřice","Zelivka,Nesmerice",163300
37,Stredocesky,"Sázava, Kácov","Sazava,Kacov",165000
38,Stredocesky,"Blanice, Louňovice pod Blaníkem","Blanice,LounovicepodBlanikem",165600
39,Stredocesky,"Chotýšanka, Slověnice","Chotysanka,Slovenice",165800
40,Stredocesky,"Blanice, Radonice","Blanice,Radonice",166200
41,Stredocesky,"Konopišťský potok, Poříčí nad Sázavou","Konopistskypotok,PoricinadSazavou",166900
42,Stredocesky,"Sázava, Nespeky","Sazava,Nespeky",167200
43,Stredocesky,"Zbirožský potok, Podmokly","Zbirozskypotok,Podmokly",191400
44,Stredocesky,"Rakovnický potok, Rakovník","Rakovnickypotok,Rakovnik",191800
45,Stredocesky,"Klíčava, Lány-Městečko","Klicava,Lany-Mestecko",193000
46,Stredocesky,"Lánský potok, Lány-Běleč","Lanskypotok,Lany-Belec",194000
47,Stredocesky,"Berounka, Zbečno","Berounka,Zbecno",194500
48,Stredocesky,"Obecnický potok, Obecnice","Obecnickypotok,Obecnice",195900
49,Stredocesky,"Litavka, Čenkov","Litavka,Cenkov",196000
50,Stredocesky,"Červený potok, Hořovice","Cervenypotok,Horovice",196400
51,Stredocesky,"Stroupínský potok, Hředle","Stroupinskypotok,Hredle",196700
52,Stredocesky,"Litavka, Beroun","Litavka,Beroun",197300
53,Stredocesky,"Berounka, Beroun","Berounka,Beroun",198000
54,Stredocesky,"Loděnice, Loděnice","Lodenice,Lodenice",198400
55,Stredocesky,"Botič, Kocanda","Botic,Kocanda",200480
56,Stredocesky,"Dobřejovický potok, Průhonice","Dobrejovickypotok,Pruhonice",200500
57,Stredocesky,"Botič, Průhonice","Botic,Pruhonice",200550
58,Stredocesky,"Pitkovický potok, Kuří","Pitkovickypotok,Kuri",200560
59,Stredocesky,"Bakovský potok, Velvary","Bakovskypotok,Velvary",202300
60,Stredocesky,"Vltava, Vraňany","Vltava,Vranany",203000
61,Stredocesky,"Labe, Mělník","Labe,Melnik",204000
62,Stredocesky,"Liběchovka, Želízy","Libechovka,Zelizy",204500
63,Jihocesky,"Teplá Vltava, Lenora","TeplaVltava,Lenora",106000
64,Jihocesky,"Teplá Vltava, Chlum","TeplaVltava,Chlum",107000
65,Jihocesky,"Studená Vltava, Černý Kříž","StudenaVltava,CernyKriz",108000
66,Jihocesky,"Vltava, Vyšší Brod","Vltava,VyssiBrod",109000
67,Jihocesky,"Vltava, Zátoň","Vltava,Zaton",109500
68,Jihocesky,"Polečnice (Kájovský potok), Český Krumlov","Polecnice(Kajovskypotok),CeskyKrumlov",110200
69,Jihocesky,"Vltava, Březí","Vltava,Brezi",111000
70,Jihocesky,"Malše, Kaplice","Malse,Kaplice",112000
71,Jihocesky,"Černá, Ličov","Cerna,Licov",112500
72,Jihocesky,"Malše, Pořešín","Malse,Poresin",112600
73,Jihocesky,"Malše, Římov","Malse,Rimov",113000
74,Jihocesky,"Stropnice, Horní Stropnice","Stropnice,HorniStropnice",113200
75,Jihocesky,"Stropnice, Pašinovice","Stropnice,Pasinovice",114000
76,Jihocesky,"Malše, Roudné","Malse,Roudne",115000
77,Jihocesky,"Vltava, České Budějovice","Vltava,CeskeBudejovice",115100
78,Jihocesky,"Bezdrevský potok, Lékařova Lhota","Bezdrevskypotok,LekarovaLhota",116500
79,Jihocesky,"Lužnice, Pilař","Luznice,Pilar",119000
80,Jihocesky,"Koštěnický potok, Kosky-Hamr","Kostenickypotok,Kosky-Hamr",121000
81,Jihocesky,"Lužnice, Kazdovna","Luznice,Kazdovna",122000
82,Jihocesky,"Lužnice, Frahelž","Luznice,Frahelz",123000
83,Jihocesky,"Zlatá stoka, Pilař-Majdaléna","Zlatastoka,Pilar-Majdalena",123500
84,Jihocesky,"Nežárka, Rodvínov","Nezarka,Rodvinov",124000
85,Jihocesky,"Hamerský potok, Oldřiš","Hamerskypotok,Oldris",126000
86,Jihocesky,"Nežárka, Lásenice","Nezarka,Lasenice",127000
87,Jihocesky,"Nová řeka, Mláka","Novareka,Mlaka",128000
88,Jihocesky,"Nežárka, Hamr","Nezarka,Hamr",129000
89,Jihocesky,"Lužnice, Klenovice","Luznice,Klenovice",131000
90,Jihocesky,"Smutná, Rataje","Smutna,Rataje",132500
91,Jihocesky,"Lužnice, Bechyně","Luznice,Bechyne",133000
92,Jihocesky,"Otava, Katovice","Otava,Katovice",141000
93,Jihocesky,"Volyňka, Sudslavice","Volynka,Sudslavice",141300
94,Jihocesky,"Spůlka, Nový Dvůr","Spulka,NovyDvur",141400
