id,region,station_name,normalized_name
0,Praha,"Praha, Karlov","Praha,Karlov"
1,Praha,"Praha, Klementinum","Praha,Klementinum"
2,Praha,"Praha, Komořany","Praha,Komorany"
3,Praha,"Praha, Libuš","Praha,Libus"
4,Praha,"Praha, Ruzyně","Praha,Ruzyne"
5,Praha,"Praha, Střešovice","Praha,Stresovice"
6,Praha,"Praha, Uhříněves","Praha,Uhrineves"
7,Praha,"Praha, Vinohrady - Flora","Praha,Vinohrady-Flora"
8,Stredocesky,"Benešov, okres: Benešov","Benesov,okres:Benesov"
9,Stredocesky,"Čechtice, okres: Benešov","Cechtice,okres:Benesov"
10,Stredocesky,"Hulice, okres: Benešov","Hulice,okres:Benesov"
11,Stredocesky,"Netvořice, okres: Benešov","Netvorice,okres:Benesov"
12,Stredocesky,"Vlašim, okres: Benešov","Vlasim,okres:Benesov"
13,Stredocesky,"Beroun, okres: Beroun","Beroun,okres:Beroun"
14,Stredocesky,"Beroun, Kralův Dvůr, okres: Beroun","Beroun,KraluvDvur,okres:Beroun"
15,Stredocesky,"Hostomice, okres: Beroun","Hostomice,okres:Beroun"
16,Stredocesky,"Neumětely, okres: Beroun","Neumetely,okres:Beroun"
17,Stredocesky,"Kladno, Kročehlavy, okres: Kladno","Kladno,Krocehlavy,okres:Kladno"
18,Stredocesky,"Lány, okres: Kladno","Lany,okres:Kladno"
19,Stredocesky,"Český Brod, Liblice, okres: Kolín","CeskyBrod,Liblice,okres:Kolin"
20,Stredocesky,"Kolín, okres: Kolín","Kolin,okres:Kolin"
21,Stredocesky,"Mrzky, okres: Kolín","Mrzky,okres:Kolin"
22,Stredocesky,"Radovesnice II., okres: Kolín","RadovesniceII.,okres:Kolin"
23,Stredocesky,"Čáslav, Nové město, okres: Kutná Hora","Caslav,Novemesto,okres:KutnaHora"
24,Stredocesky,"Staňkovice, Nová Ves, okres: Kutná Hora","Stankovice,NovaVes,okres:KutnaHora"
25,Stredocesky,"Vavřinec, Žíšov, okres: Kutná Hora","Vavrinec,Zisov,okres:KutnaHora"
26,Stredocesky,"Zbýšov, Dobrovítov, okres: Kutná Hora","Zbysov,Dobrovitov,okres:KutnaHora"
27,Stredocesky,"Kralupy nad Vltavou, okres: Mělník","KralupynadVltavou,okres:Melnik"
28,Stredocesky,"Mělník, okres: Mělník","Melnik,okres:Melnik"
