id,branch,station_name
0,Brno,B2ZDAN01
1,Brno,B4ZITK01
2,Brno,B1PROS01
3,Brno,B1BYSH01
4,Brno,B1BOJK01
5,Brno,B2JIHL01
6,Brno,B4SUMR01
7,Brno,B4HERA01
8,Brno,B2LEDN01
9,Brno,B2POHO01
10,Brno,B7TREB01
11,Brno,B2TROU01
12,Brno,B2NEMO01
13,Brno,B2MBUD01
14,Brno,B2HAJE01
15,Brno,B1KLZI01
16,Brno,B1IVAN01
17,Brno,B2VMEZ01
18,Brno,B2VATI01
19,Brno,B2NEDV01
20,Brno,B2KOBY01
21,Brno,B2HUBE01
22,Brno,B2DYJA01
23,Brno,B2BZAB01
24,Brno,B2BROD01
25,Brno,B1VIZO01
26,Brno,B1STRZ01
27,Brno,B1STRN01
28,Brno,B1STIT01
29,Brno,B1PROT01
30,Brno,B1KROM01
31,Brno,B2SEDC01
32,Brno,B2KUCH01
33,Brno,B2KMYS01
34,Brno,B2DUKO01
35,Brno,B2BTUR01
36,Brno,B1HOLE01
37,Brno,B2BYSP01
38,Brno,B1STME01
39,Ceske_Budejovice,C2KREM01
40,Ceske_Budejovice,C4KEPZ01
41,Ceske_Budejovice,C1KRSI01
42,Ceske_Budejovice,C7BUCI01
43,Ceske_Budejovice,C7BLVR01
44,Ceske_Budejovice,C1ORLV01
45,Ceske_Budejovice,C1CHEL01
46,Ceske_Budejovice,C2NETR01
47,Ceske_Budejovice,C1JELE01
48,Ceske_Budejovice,C7PLCH01
49,Ceske_Budejovice,C7POHS01
50,Ceske_Budejovice,C2POCA01
51,Ceske_Budejovice,C1VIMP01
52,Ceske_Budejovice,C7BRZK01
53,Ceske_Budejovice,C1VOLR01
54,Ceske_Budejovice,C7ROSL01
55,Ceske_Budejovice,C7HLIN01
56,Ceske_Budejovice,C1HKVI01
57,Ceske_Budejovice,C1VLKO01
58,Ceske_Budejovice,C1STRA01
59,Ceske_Budejovice,C2TREB01
60,Ceske_Budejovice,C2HLAS01
61,Ceske_Budejovice,C2CKRU01
