id,region,station_name,normalized_name
0,Praha,"Praha, Karlov","Praha,Karlov"
1,Praha,"Praha, Klementinum","Praha,Klementinum"
2,Praha,"Praha, Komořany","Praha,Komorany"
3,Praha,"Praha, Libuš","Praha,Libus"
4,Praha,"Praha, Ruzyně","Praha,Ruzyne"
5,Praha,"Praha, Střešovice","Praha,Stresovice"
6,Praha,"Praha, Uhříněves","Praha,Uhrineves"
7,Praha,"Praha, Vinohrady - Flora","Praha,Vinohrady-Flora"
8,Jihocesky,"Benešov, okres: Benešov","Benesov,okres:Benesov"
9,Jihocesky,"Čechtice, okres: Benešov","Cechtice,okres:Benesov"
10,Jihocesky,"Hulice, okres: Benešov","Hulice,okres:Benesov"
11,Jihocesky,"Netvořice, okres: Benešov","Netvorice,okres:Benesov"
12,Jihocesky,"Vlašim, okres: Benešov","Vlasim,okres:Benesov"
13,Jihocesky,"Beroun, okres: Beroun","Beroun,okres:Beroun"
14,Jihocesky,"Beroun, Kralův Dvůr, okres: Beroun","Beroun,KraluvDvur,okres:Beroun"
15,Jihocesky,"Hostomice, okres: Beroun","Hostomice,okres:Beroun"
16,Jihocesky,"Neumětely, okres: Beroun","Neumetely,okres:Beroun"
17,Jihocesky,"Kladno, Kročehlavy, okres: Kladno","Kladno,Krocehlavy,okres:Kladno"
18,Jihocesky,"Lány, okres: Kladno","Lany,okres:Kladno"
19,Jihocesky,"Český Brod, Liblice, okres: Kolín","CeskyBrod,Liblice,okres:Kolin"
20,Jihocesky,"Kolín, okres: Kolín","Kolin,okres:Kolin"
21,Jihocesky,"Mrzky, okres: Kolín","Mrzky,okres:Kolin"
22,Jihocesky,"Radovesnice II., okres: Kolín","RadovesniceII.,okres:Kolin"
23,Jihocesky,"Čáslav, Nové město, okres: Kutná Hora","Caslav,Novemesto,okres:KutnaHora"
24,Jihocesky,"Staňkovice, Nová Ves, okres: Kutná Hora","Stankovice,NovaVes,okres:KutnaHora"
25,Jihocesky,"Vavřinec, Žíšov, okres: Kutná Hora","Vavrinec,Zisov,okres:KutnaHora"
26,Jihocesky,"Zbýšov, Dobrovítov, okres: Kutná Hora","Zbysov,Dobrovitov,okres:KutnaHora"
27,Jihocesky,"Kralupy nad Vltavou, okres: Mělník","KralupynadVltavou,okres:Melnik"
28,Jihocesky,"Mělník, okres: Mělník","Melnik,okres:Melnik"
